;Albacete;Alicante;Almería;Avila;Badajoz;Barcelona;Bilbao;Burgos;Cáceres;Cádiz;Castellón;Ciudad Real;Córdoba;A Coruña;Cuenca;Gerona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lérida;Logroño;Lugo;Madrid;Málaga;Murcia;Orense;Oviedo;Palencia;Pamplona;Pontevedra;Salamanca;S.Sebastián ;Santander;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Vitoria;Zamora;Zaragoza
León;584 km;855 km;896 km;255 km;496 km;784 km;359 km;201 km;407 km;796 km;725 km;511 km;733 km;334 km;500 km;884 km;761 km;391 km;730 km;560 km;668 km;0 km;628 km;316 km;236 km;333 km;877 km;734 km;271 km;118 km;130 km;404 km;373 km;197 km;433 km;293 km;245 km;671 km;342 km;719 km;573 km;392 km;685 km;134 km;315 km;135 km;488 km
Lérida;515 km;490 km;802 km;558 km;866 km;156 km;464 km;427 km;762 km;1,128 km;259 km;655 km;865 km;973 km;472 km;256 km;861 km;407 km;1,097 km;118 km;779 km;628 km;0 km;312 km;875 km;465 km;1,009 km;583 km;871 km;703 km;513 km;281 km;973 km;622 km;373 km;537 km;494 km;1,003 km;297 km;91 km;319 km;536 km;324 km;507 km;374 km;603 km;140 km
Logroño;578 km;653 km;899 km;358 km;676 km;468 km;152 km;115 km;595 km;999 km;455 km;526 km;736 km;650 km;464 km;568 km;770 km;278 km;968 km;244 km;671 km;316 km;312 km;0 km;352 km;336 km;880 km;694 km;562 km;391 km;201 km;88 km;664 km;352 km;169 km;225 km;299 km;874 km;105 km;403 km;336 km;407 km;481 km;237 km;86 km;333 km;172 km
Lugo;762 km;933 km;1,074 km;440 km;674 km;1,020 km;546 km;437 km;585 km;974 km;928 km;696 km;897 km;98 km;678 km;1,120 km;945 km;569 km;908 km;807 km;846 km;236 km;875 km;352 km;0 km;511 km;1,055 km;912 km;95 km;242 km;352 km;640 km;148 km;375 km;665 km;449 km;462 km;849 km;578 km;966 km;809 km;577 km;863 km;357 km;451 km;313 km;735 km
Madrid;251 km;422 km;563 km;115 km;401 km;621 km;395 km;237 km;297 km;663 km;417 km;190 km;400 km;609 km;167 km;721 km;434 km;58 km;632 km;397 km;335 km;333 km;465 km;336 km;511 km;0 km;544 km;401 km;521 km;451 km;240 km;407 km;623 km;212 km;469 km;393 km;87 km;538 km;231 km;534 km;302 km;71 km;352 km;193 km;351 km;248 km;325 km
Málaga;473 km;482 km;219 km;644 km;436 km;997 km;939 km;781 km;506 km;265 km;713 km;388 km;187 km;1,153 km;615 km;1,097 km;129 km;602 km;313 km;941 km;209 km;877 km;1,009 km;880 km;1,055 km;544 km;0 km;407 km;1,065 km;995 km;784 km;951 km;1,153 km;756 km;1,013 km;937 km;631 km;219 km;775 km;899 km;715 km;507 km;648 km;737 km;895 km;792 km;869 km
Murcia;150 km;75 km;219 km;516 km;675 km;590 km;796 km;638 km;654 km;613 km;306 km;357 km;444 km;1,010 km;292 km;690 km;278 km;459 km;628 km;611 km;340 km;734 km;583 km;694 km;912 km;401 km;407 km;0 km;922 km;852 km;641 km;714 km;1,024 km;613 km;807 km;794 km;488 km;534 km;589 km;492 km;385 km;390 km;241 km;594 km;752 km;649 km;539 km
Orense;772 km;943 km;1,084 km;443 km;645 km;1,027 km;605 km;447 km;556 km;945 km;938 km;699 km;921 km;175 km;689 km;1,127 km;955 km;579 km;879 km;803 km;856 km;271 km;871 km;562 km;95 km;521 km;1,065 km;922 km;0 km;337 km;361 km;650 km;102 km;346 km;679 km;544 km;467 km;820 km;574 km;962 km;805 km;580 km;873 km;356 km;561 km;284 km;731 km
Oviedo;702 km;873 km;1,014 km;373 km;614 km;902 km;304 km;322 km;525 km;914 km;868 km;641 km;851 km;340 km;618 km;1,002 km;885 km;509 km;821 km;626 km;786 km;118 km;703 km;391 km;242 km;451 km;995 km;852 km;337 km;0 km;248 km;463 km;390 km;315 km;423 km;207 km;363 km;789 km;463 km;835 km;694 km;510 km;803 km;252 km;340 km;253 km;604 km
Palencia;491 km;662 km;803 km;168 km;461 km;669 km;244 km;86 km;372 km;761 km;596 km;424 km;640 km;450 km;407 km;769 km;674 km;298 km;695 km;442 km;575 km;130 km;513 km;201 km;352 km;240 km;784 km;641 km;361 km;248 km;0 km;289 km;463 km;162 km;318 km;201 km;158 km;636 km;213 km;604 km;444 km;305 km;592 km;47 km;200 km;143 km;373 km
